STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT13,WT16,WT19
USW00013958,"AUSTIN CAMP MABRY, TX US",4/9/13,0,0,0,,86,70,,,,,,,1,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/10/13,0.3,0,0,,74,45,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/11/13,0.06,0,0,,68,43,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/12/13,0,0,0,,81,44,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/13/13,0,0,0,,78,54,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/14/13,0,0,0,,87,58,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/15/13,0,0,0,,88,70,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/16/13,0,0,0,,85,70,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/17/13,0.01,0,0,,85,73,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/18/13,0.36,0,0,,75,50,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/19/13,0,0,0,,69,45,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/20/13,0,0,0,,73,41,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/21/13,0,0,0,,78,50,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/22/13,0,0,0,,85,56,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/23/13,0,0,0,,79,49,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/24/13,0,0,0,,65,45,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/25/13,0,0,0,,70,56,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/26/13,0.03,0,0,,79,60,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/27/13,0,0,0,,85,69,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/28/13,0,0,0,,87,62,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/29/13,0,0,0,,86,67,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",4/30/13,0,0,0,,84,64,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/1/13,0,0,0,,89,68,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/2/13,0,0,0,,75,48,,,1,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/3/13,0,0,0,,71,44,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/4/13,0,0,0,,85,46,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",5/5/13,0,0,0,,79,51,,,,,,,,,,
